Timestamp,Temperature (2m),Humidity (2m),PAR Radiation (2m),Temperature (-0.25m),Soil moisture (-0.25m),Temperature (-0.55m),Soil moisture (-0.55m),Station
2010-07-01 00:00:00,15.77,85.17,2.68,14.73,8.82,12.49,10.22,1
2010-07-01 01:00:00,14.75,90.28,2.75,14.72,8.82,12.5,10.21,1
2010-07-01 02:00:00,14.32,91.71,2.57,14.7,8.81,12.51,10.21,1
2010-07-01 03:00:00,14.27,93.52,2.47,14.68,8.81,12.52,10.21,1
2010-07-01 04:00:00,14.28,94.35,5.48,14.66,8.81,12.54,10.21,1
2010-07-01 05:00:00,14.6,94.88,32.47,14.62,8.81,12.55,10.21,1
2010-07-01 06:00:00,15.98,87.89,31.83,14.6,8.81,12.57,10.21,1
2010-07-01 07:00:00,16.67,80.71,75.25,14.57,8.81,12.58,10.21,1
2010-07-01 08:00:00,17.91,75.73,106.9,14.56,8.81,12.6,10.21,1
2010-07-01 09:00:00,19.15,70.74,138.54,14.55,8.81,12.62,10.21,1
2010-07-01 10:00:00,21.21,64.61,201.45,14.53,8.79,12.63,10.2,1
2010-07-01 11:00:00,22.7,59.46,234.84,14.52,8.78,12.64,10.19,1
2010-07-01 12:00:00,23.5,56.24,203.15,14.53,8.77,12.65,10.17,1
2010-07-01 13:00:00,23.67,56.09,97.24,14.54,8.77,12.66,10.16,1
2010-07-01 14:00:00,23.82,57.07,91.73,14.55,8.76,12.66,10.15,1
2010-07-01 15:00:00,23.92,58.2,86.73,14.58,8.75,12.66,10.12,1
2010-07-01 16:00:00,24.4,57.38,68.04,14.61,8.74,12.66,10.11,1
2010-07-01 17:00:00,24.2,59.41,53.09,14.65,8.73,12.66,10.11,1
2010-07-01 18:00:00,23.87,58.72,35.32,14.68,8.73,12.66,10.09,1
2010-07-01 19:00:00,22.99,61.96,25.1,14.72,8.73,12.65,10.07,1
2010-07-01 20:00:00,22.13,64.03,10.59,14.75,8.73,12.65,10.06,1
2010-07-01 21:00:00,19.82,70.82,2.52,14.78,8.73,12.65,10.05,1
2010-07-01 22:00:00,17.69,76.88,2.61,14.8,8.72,12.65,10.05,1
2010-07-01 23:00:00,16.3,83.78,2.9,14.81,8.73,12.66,10.03,1
2010-07-02 00:00:00,15.26,88.2,3.24,14.81,8.73,12.66,10.03,1
2010-07-02 01:00:00,14.43,90.34,3.3,14.8,8.73,12.67,10.02,1
2010-07-02 02:00:00,13.64,92.7,3.51,14.79,8.73,12.68,10.02,1
2010-07-02 03:00:00,13.09,94.59,3.68,14.76,8.73,12.68,10.02,1
2010-07-02 04:00:00,12.79,96.07,7.58,14.73,8.73,12.69,10.01,1
2010-07-02 05:00:00,13.19,94.45,30.2,14.7,8.72,12.7,10.02,1
2010-07-02 06:00:00,14.63,91.32,53.06,14.66,8.72,12.71,10.02,1
2010-07-02 07:00:00,16.53,86.04,78.43,14.63,8.72,12.72,10.02,1
2010-07-02 08:00:00,18.73,80.29,111.39,14.6,8.72,12.74,10.02,1
2010-07-02 09:00:00,21.71,68.07,155.72,14.59,8.72,12.76,10.01,1
2010-07-02 10:00:00,23.72,60.45,189.87,14.59,8.71,12.78,10.01,1
2010-07-02 11:00:00,25.46,54.93,239.54,14.59,8.7,12.78,10.0,1
2010-07-02 12:00:00,26.83,50.16,185.68,14.61,8.69,12.79,9.99,1
2010-07-02 13:00:00,27.17,48.63,118.06,14.64,8.68,12.8,9.98,1
2010-07-02 14:00:00,27.72,47.16,128.72,14.68,8.67,12.8,9.96,1
2010-07-02 15:00:00,27.92,47.19,88.81,14.73,8.67,12.8,9.94,1
2010-07-02 16:00:00,26.75,53.52,62.31,14.78,8.65,12.8,9.94,1
2010-07-02 17:00:00,27.8,46.72,52.96,14.84,8.65,12.79,9.92,1
2010-07-02 18:00:00,27.44,48.2,32.74,14.9,8.64,12.79,9.91,1
2010-07-02 19:00:00,25.98,56.08,17.44,14.96,8.64,12.79,9.89,1
2010-07-02 20:00:00,24.14,63.24,10.04,15.01,8.64,12.78,9.88,1
2010-07-02 21:00:00,22.35,70.21,3.27,15.05,8.64,12.78,9.86,1
2010-07-02 22:00:00,20.5,78.55,2.89,15.09,8.64,12.78,9.85,1
2010-07-02 23:00:00,19.14,82.37,3.27,15.13,8.63,12.78,9.84,1
2010-07-03 00:00:00,18.08,85.03,3.44,15.15,8.64,12.79,9.83,1
2010-07-03 01:00:00,17.03,87.85,3.76,15.16,8.64,12.8,9.83,1
2010-07-03 02:00:00,16.09,91.12,3.87,15.16,8.64,12.8,9.83,1
2010-07-03 03:00:00,15.39,93.27,3.86,15.15,8.63,12.81,9.83,1
2010-07-03 04:00:00,14.72,94.6,5.35,15.14,8.63,12.82,9.83,1
2010-07-03 05:00:00,14.51,94.91,22.64,15.12,8.63,12.84,9.83,1
2010-07-03 06:00:00,15.4,92.73,53.57,15.1,8.63,12.85,9.82,1
2010-07-03 07:00:00,17.65,87.39,79.4,15.07,8.63,12.87,9.83,1
2010-07-03 08:00:00,20.48,82.36,105.61,15.06,8.63,12.9,9.83,1
2010-07-03 09:00:00,23.66,71.4,167.27,15.05,8.63,12.92,9.82,1
2010-07-03 10:00:00,26.28,55.29,188.66,15.05,8.62,12.94,9.82,1
2010-07-03 11:00:00,27.72,45.39,240.93,15.07,8.61,12.96,9.81,1
2010-07-03 12:00:00,28.36,45.4,187.34,15.09,8.61,12.97,9.81,1
2010-07-03 13:00:00,29.08,44.46,181.24,15.13,8.6,12.98,9.79,1
2010-07-03 14:00:00,29.04,44.32,130.64,15.17,8.59,12.98,9.78,1
2010-07-03 15:00:00,29.0,43.03,98.36,15.22,8.58,12.99,9.76,1
2010-07-03 16:00:00,29.12,41.25,74.29,15.28,8.57,12.99,9.75,1
2010-07-03 17:00:00,28.95,44.06,57.51,15.35,8.57,12.99,9.74,1
2010-07-03 18:00:00,28.38,46.55,41.03,15.41,8.56,12.99,9.72,1
2010-07-03 19:00:00,27.35,47.85,24.71,15.46,8.56,12.99,9.71,1
2010-07-03 20:00:00,25.26,54.83,10.47,15.51,8.56,12.98,9.7,1
2010-07-03 21:00:00,22.44,61.47,3.31,15.55,8.56,12.98,9.69,1
2010-07-03 22:00:00,19.99,69.82,3.04,15.59,8.56,12.98,9.67,1
2010-07-03 23:00:00,18.56,75.81,3.36,15.61,8.56,12.99,9.67,1
2010-07-04 00:00:00,17.42,80.71,3.41,15.62,8.57,13.0,9.66,1
2010-07-04 01:00:00,16.61,80.03,3.53,15.62,8.56,13.01,9.66,1
2010-07-04 02:00:00,16.0,80.75,3.59,15.61,8.56,13.02,9.65,1
2010-07-04 03:00:00,15.16,84.1,3.61,15.59,8.56,13.03,9.65,1
2010-07-04 04:00:00,14.2,87.9,5.94,15.56,8.56,13.04,9.65,1
2010-07-04 05:00:00,13.91,89.27,25.22,15.53,8.56,13.05,9.65,1
2010-07-04 06:00:00,15.07,85.98,58.37,15.49,8.55,13.08,9.65,1
2010-07-04 07:00:00,17.34,80.0,82.31,15.46,8.55,13.1,9.65,1
2010-07-04 08:00:00,20.42,68.12,107.98,15.43,8.56,13.12,9.65,1
2010-07-04 09:00:00,23.15,58.64,190.69,15.42,8.54,13.14,9.64,1
2010-07-04 10:00:00,25.2,46.34,193.9,15.4,8.55,13.16,9.64,1
2010-07-04 11:00:00,26.89,39.84,271.41,15.4,8.54,13.18,9.64,1
2010-07-04 12:00:00,28.18,35.54,197.04,15.41,8.53,13.19,9.63,1
2010-07-04 13:00:00,28.52,35.12,152.45,15.42,8.52,13.2,9.62,1
2010-07-04 14:00:00,28.88,34.4,136.38,15.45,8.52,13.21,9.61,1
2010-07-04 15:00:00,28.77,35.76,97.61,15.48,8.51,13.21,9.59,1
2010-07-04 16:00:00,28.11,40.11,82.51,15.52,8.51,13.21,9.58,1
2010-07-04 17:00:00,28.37,38.51,64.24,15.56,8.5,13.21,9.57,1
2010-07-04 18:00:00,27.09,47.67,38.1,15.61,8.49,13.21,9.56,1
2010-07-04 19:00:00,25.28,55.86,17.9,15.64,8.49,13.2,9.53,1
2010-07-04 20:00:00,23.21,62.43,4.25,15.68,8.49,13.19,9.53,1
2010-07-04 21:00:00,21.08,69.7,2.64,15.71,8.49,13.18,9.51,1
2010-07-04 22:00:00,19.98,73.79,2.78,15.73,8.49,13.19,9.51,1
2010-07-04 23:00:00,20.29,75.98,2.91,15.76,8.48,13.2,9.5,1
2010-07-05 00:00:00,20.58,81.03,2.88,15.78,8.49,13.2,9.49,1
2010-07-05 01:00:00,20.88,85.76,2.98,15.78,8.49,13.21,9.5,1
2010-07-05 02:00:00,20.44,87.49,2.96,15.79,8.49,13.23,9.49,1
2010-07-05 03:00:00,19.67,93.33,2.92,15.78,8.49,13.24,9.49,1
2010-07-05 04:00:00,19.14,96.54,3.85,15.78,8.48,13.25,9.49,1
2010-07-05 05:00:00,18.95,98.13,6.98,15.77,8.49,13.25,9.49,1
2010-07-05 06:00:00,19.18,97.5,16.39,15.77,8.49,13.27,9.49,1
2010-07-05 07:00:00,19.42,97.3,25.96,15.76,8.49,13.28,9.49,1
2010-07-05 08:00:00,20.63,90.51,100.07,15.76,8.49,13.29,9.49,1
2010-07-05 09:00:00,22.97,63.65,127.75,15.77,8.48,13.32,9.5,1
2010-07-05 10:00:00,24.63,52.63,190.23,15.78,8.49,13.34,9.49,1
2010-07-05 11:00:00,25.77,49.43,240.92,15.79,8.48,13.35,9.49,1
2010-07-05 12:00:00,26.1,49.38,165.58,15.8,8.47,13.37,9.48,1
2010-07-05 13:00:00,26.09,50.24,136.51,15.82,8.46,13.37,9.47,1
2010-07-05 14:00:00,27.09,45.66,130.91,15.84,8.46,13.38,9.46,1
2010-07-05 15:00:00,26.57,50.28,65.39,15.87,8.45,13.39,9.45,1
2010-07-05 16:00:00,25.24,57.24,57.36,15.89,8.45,13.38,9.43,1
2010-07-05 17:00:00,25.19,56.44,50.95,15.92,8.45,13.39,9.43,1
2010-07-05 18:00:00,24.56,62.21,25.63,15.95,8.45,13.39,9.42,1
2010-07-05 19:00:00,23.01,71.62,7.47,15.98,8.44,13.38,9.4,1
2010-07-05 20:00:00,21.7,82.35,5.89,16.0,8.45,13.38,9.39,1
2010-07-05 21:00:00,21.09,84.36,3.16,16.02,8.44,13.38,9.39,1
2010-07-05 22:00:00,20.25,87.78,3.06,16.03,8.44,13.39,9.39,1
2010-07-05 23:00:00,20.08,88.25,3.15,16.04,8.44,13.4,9.38,1
2010-07-06 00:00:00,19.14,92.89,2.97,16.05,8.44,13.41,9.38,1
2010-07-06 01:00:00,18.12,98.23,3.17,16.04,8.44,13.42,9.38,1
2010-07-06 02:00:00,16.98,100.21,3.19,16.23,8.44,13.43,9.38,1
2010-07-06 03:00:00,16.41,101.47,3.26,16.27,8.83,13.49,12.61,1
2010-07-06 04:00:00,16.27,101.88,3.31,16.17,9.4,13.59,13.45,1
2010-07-06 05:00:00,16.08,102.08,5.74,16.1,9.9,13.66,13.8,1
2010-07-06 06:00:00,15.69,102.06,14.95,16.03,10.32,13.71,14.06,1
2010-07-06 07:00:00,15.24,101.47,36.98,15.98,10.67,13.74,14.26,1
2010-07-06 08:00:00,15.12,96.72,78.42,15.93,10.97,13.77,14.41,1
2010-07-06 09:00:00,15.83,89.28,105.71,15.88,11.21,13.8,14.53,1
2010-07-06 10:00:00,17.18,74.06,173.66,15.84,11.41,13.83,14.61,1
2010-07-06 11:00:00,18.11,63.86,179.43,15.8,11.55,13.86,14.66,1
2010-07-06 12:00:00,18.3,63.77,116.77,15.77,11.67,13.88,14.68,1
2010-07-06 13:00:00,19.14,57.4,165.79,15.73,11.75,13.89,14.69,1
2010-07-06 14:00:00,19.28,55.2,112.87,15.7,11.83,13.9,14.69,1
2010-07-06 15:00:00,19.47,54.32,95.56,15.67,11.88,13.9,14.67,1
2010-07-06 16:00:00,19.92,54.66,83.6,15.64,11.92,13.91,14.67,1
2010-07-06 17:00:00,19.4,55.89,41.52,15.62,11.97,13.9,14.65,1
2010-07-06 18:00:00,19.0,59.02,33.76,15.59,12.0,13.9,14.62,1
2010-07-06 19:00:00,18.21,66.28,21.66,15.57,12.03,13.9,14.62,1
2010-07-06 20:00:00,17.58,71.15,11.67,15.55,12.06,13.89,14.6,1
